"Win Rate","K:D","GPM","GDM","Game Duration","Kills/Game","Deaths/Game","Towers Killed","Towers Lost","FB%","FT%","DRAPG","DRA%","HERPG","Her%","DRA@15","TD@15","GD@15","NASHPG","NASH%","CSM","DPM","WPM","VWPM","WCPM"
0.36,0.73,1.667,-166,33.86666666666667,13.1,17.9,4.5,7.4,18.2,18.2,2.09,37.6,0.82,40.9,0.73,-0.5,-2.387,0.64,36.1,30.4,1.935,3.0,1.25,1.28
0.55,1.10,1.753,-5,32.03333333333333,13.1,11.9,5.6,5.1,55.6,44.4,2.44,46.7,1.00,50.0,1.11,0.1,-0.12,0.89,44.4,31.5,1.574,2.7,1.02,1.19
0.87,1.56,1.887,204,33.15,14.9,9.6,7.6,3.6,56.3,68.8,3.19,64.6,0.88,43.8,0.88,0.0,0.611,0.81,65.6,35.0,1.953,3.2,1.25,1.76
0.12,0.48,1.556,-356,29.033333333333335,7.4,15.5,2.0,8.9,50.0,12.5,1.25,28.8,0.25,12.5,0.88,-1.0,-1.917,0.25,18.8,30.4,1.249,2.9,1.18,1.06
0.62,0.94,1.785,54,33.11666666666667,12.3,13.0,7.4,5.4,75.0,87.5,2.63,52.7,1.50,75.0,1.13,1.0,1.375,0.75,47.9,32.2,1.776,3.0,1.17,1.08
0.33,0.79,1.639,-213,30.833333333333332,9.3,11.7,3.7,7.6,41.7,16.7,1.58,32.6,0.75,37.5,0.75,-0.9,-1.741,0.33,27.3,31.5,1.563,2.9,1.27,1.15
0.35,0.93,1.752,-126,30.15,12.6,13.5,4.6,6.7,60.0,25.0,2.00,46.8,0.85,44.7,0.65,-0.4,-0.837,0.25,27.8,33.0,1.772,3.4,1.46,1.55
0.5,1.05,1.738,34,31.483333333333334,10.4,9.9,6.3,5.1,25.0,75.0,2.50,58.3,1.13,56.3,1.00,0.3,0.561,0.75,62.5,32.6,1.719,3.2,1.33,1.50
0.72,1.19,1.861,124,31.116666666666667,18.0,15.0,8.4,3.9,72.7,72.7,2.82,60.6,1.18,59.1,1.18,0.5,0.896,1.09,63.6,31.0,2.065,3.0,1.13,1.18
0.23,0.77,1.651,-188,31.033333333333335,11.2,14.6,3.6,7.8,53.8,23.1,1.62,35.2,0.77,38.5,1.00,-0.7,-1.603,0.38,33.3,30.3,1.606,2.9,1.40,1.08
0.55,1.13,1.787,24,32.88333333333333,14.9,13.1,6.4,5.6,55.6,50.0,3.17,68.7,1.00,50.0,1.17,0.0,0.54,0.61,48.1,32.0,1.942,3.3,1.21,1.41
0.22,0.62,1.662,-213,31.516666666666666,9.9,16.0,4.0,7.7,44.4,55.6,2.00,43.5,1.11,55.6,0.44,-0.1,-0.88,0.33,27.8,31.9,1.739,3.3,1.23,1.23
0.45,0.82,1.761,-54,34.71666666666667,10.5,12.8,6.6,6.3,54.5,45.5,2.00,36.4,1.00,50.0,0.64,0.4,0.035,0.64,36.4,33.6,1.704,3.6,1.39,1.39
0.53,1.11,1.855,138,31.083333333333332,15.8,13.9,7.0,4.8,53.8,69.2,2.23,51.7,1.46,73.1,1.08,0.8,1.625,0.69,50.0,32.7,1.976,3.3,1.40,1.28
0.8,1.47,1.862,205,33.166666666666664,17.3,11.8,8.0,3.5,40.0,90.0,3.10,63.2,1.00,50.0,1.00,0.6,0.956,0.90,75.0,32.5,1.95,3.3,1.49,1.39
0.91,1.90,1.895,293,31.883333333333333,16.5,8.7,9.4,2.9,50.0,75.0,2.75,62.9,1.17,58.3,0.92,0.7,1.874,1.17,87.5,32.7,1.993,3.5,1.56,1.48
0.33,0.78,1.699,-151,31.466666666666665,11.1,14.3,3.9,7.8,53.3,33.3,1.87,41.1,0.53,26.7,0.87,-0.5,-1.037,0.27,30.8,32.5,1.782,3.0,1.19,1.30
0.55,1.23,1.774,22,33.8,13.4,10.9,6.1,5.4,44.4,55.6,2.67,56.7,1.22,61.1,1.11,-0.2,0.301,0.44,38.9,33.5,1.851,3.2,1.23,1.38
0.54,1.10,1.868,51,30.416666666666668,18.5,16.7,6.5,5.5,45.5,63.6,2.73,62.6,0.73,45.5,1.45,0.3,0.792,0.82,57.6,32.1,2.082,3.2,1.33,1.18
0.8,1.69,1.866,258,30.783333333333335,15.7,9.3,9.0,2.6,40.0,90.0,2.90,69.8,1.80,90.0,1.40,1.1,2.398,1.10,81.7,32.2,2.035,3.2,1.34,1.33
0.37,0.90,1.75,11,31.983333333333334,13.0,14.5,5.5,5.9,25.0,50.0,2.50,52.7,1.13,56.3,0.88,0.4,1.319,0.88,54.2,30.5,1.784,2.9,1.18,1.18
0.31,0.72,1.682,-189,33.766666666666666,9.2,12.7,4.0,7.8,50.0,13.6,2.27,45.3,0.50,25.0,0.95,-0.9,-1.45,0.50,30.3,33.5,1.643,4.1,1.59,1.94
0.78,1.50,1.978,249,29.733333333333334,16.5,10.9,7.6,3.3,63.2,63.2,2.32,56.6,1.21,60.5,0.68,0.3,1.472,1.00,76.3,35.0,2.203,3.3,1.35,1.50
0.6,1.16,1.801,107,33.88333333333333,15.3,13.2,6.6,5.6,40.0,60.0,3.00,59.2,0.80,40.0,0.90,0.3,0.709,1.00,70.0,31.7,2.142,3.2,1.32,1.46
0.16,0.51,1.655,-234,31.566666666666666,8.8,17.3,4.0,8.2,33.3,25.0,1.58,32.9,0.92,45.8,0.75,-0.3,-1.587,0.58,39.4,32.0,1.701,3.2,1.28,1.30
0.62,1.36,1.8,118,36.25,17.6,13.0,7.9,5.3,75.0,50.0,3.25,59.9,1.25,62.5,0.63,0.0,-0.132,0.75,58.3,31.9,2.03,3.9,1.52,1.55
0.66,1.02,1.85,141,34.233333333333334,13.3,13.1,7.8,4.9,41.7,75.0,2.67,56.1,1.25,62.5,1.17,0.7,0.301,1.17,65.3,33.7,1.888,3.6,1.61,1.43
0.81,1.46,1.916,213,35.53333333333333,19.3,13.2,8.5,3.9,36.4,54.5,3.91,75.4,1.09,54.5,0.91,0.3,0.896,1.09,65.9,33.5,2.355,3.4,1.21,1.44
0.2,0.50,1.573,-286,30.916666666666668,7.7,15.5,3.2,8.2,40.0,30.0,1.70,33.8,0.80,40.0,0.80,-0.6,-1.886,0.20,15.0,30.2,1.274,2.9,1.43,1.02
0.6,1.42,1.814,173,33.75,13.6,9.6,7.1,4.4,60.0,80.0,2.30,45.6,1.30,65.0,0.90,0.5,1.835,0.80,66.7,33.0,1.675,3.1,1.30,1.50
1.0,2.92,2.049,477,27.0,21.9,7.4,8.5,1.5,87.5,62.5,2.75,71.9,1.25,62.5,0.88,0.9,3.548,0.63,83.3,34.8,2.172,3.3,1.14,1.41
0.75,1.35,1.886,241,29.333333333333332,12.5,9.3,8.0,3.0,25.0,75.0,2.25,57.5,1.25,62.5,0.75,1.0,1.83,0.75,62.5,34.5,1.871,2.9,1.07,1.33
0.61,1.02,1.756,-7,31.233333333333334,13.6,13.4,5.9,5.3,30.8,53.8,2.54,53.1,0.85,42.3,0.85,-0.2,-0.639,0.69,58.3,32.2,1.973,3.0,1.08,1.19
0.54,1.16,1.809,99,34.71666666666667,15.2,13.0,6.5,5.0,45.5,54.5,2.64,53.6,1.36,68.2,1.27,0.5,1.193,0.73,63.6,32.9,2.005,3.0,1.24,1.57
0.75,1.28,1.798,84,31.6,16.6,12.9,6.8,5.6,41.7,41.7,2.92,59.7,1.42,70.8,1.25,-0.5,-0.575,0.67,50.0,30.8,2.079,3.3,1.35,1.28
0.63,1.35,1.825,141,31.916666666666668,16.1,11.7,7.0,5.3,45.5,54.5,3.09,67.3,1.36,68.2,1.36,0.7,0.475,1.09,72.7,31.1,2.116,3.2,1.35,1.27
0.66,1.32,1.834,122,31.483333333333334,17.4,13.1,6.7,4.6,66.7,55.6,2.67,56.5,0.78,38.9,1.33,0.0,0.57,0.89,61.1,31.5,1.958,3.0,1.06,1.17
0.7,1.04,1.817,43,34.666666666666664,16.1,15.5,6.3,5.0,80.0,70.0,2.70,55.6,1.20,60.0,1.50,0.3,1.535,0.40,27.1,33.0,1.933,4.0,1.64,1.75
0.7,1.43,1.889,186,31.866666666666667,13.9,9.6,7.4,4.3,79.2,75.0,2.29,54.9,1.13,62.5,0.83,0.3,1.06,0.83,70.1,35.5,1.825,4.1,1.51,1.96
0.2,0.63,1.584,-238,34.28333333333333,10.3,16.4,3.5,8.4,30.0,30.0,1.70,30.0,0.30,15.0,0.50,-0.9,-2.136,0.30,25.9,29.1,1.564,2.7,0.98,1.13
0.41,1.05,1.807,51,25.783333333333335,13.0,12.4,4.8,4.3,33.3,50.0,2.08,55.7,0.92,60.0,1.00,0.6,1.157,0.42,50.0,31.9,1.933,3.2,1.08,1.29
0.38,0.64,1.754,-147,29.333333333333332,11.7,18.1,4.3,6.6,38.5,38.5,2.08,45.6,0.62,30.8,1.00,-0.7,-1.825,0.46,36.4,33.1,2.009,3.3,1.32,1.31
0.4,0.84,1.718,-118,29.95,11.0,13.1,4.0,6.8,30.0,30.0,2.20,47.7,0.60,30.0,1.10,-0.8,-1.36,0.90,55.0,31.9,1.624,3.3,1.17,1.17
0.2,0.46,1.638,-242,33.31666666666667,7.5,16.1,3.6,7.8,33.3,40.0,2.13,38.7,0.80,40.0,0.67,-0.3,-0.552,0.53,22.6,32.4,1.724,3.5,1.35,1.41
0.22,0.60,1.683,-231,31.0,10.3,17.1,4.2,7.9,66.7,22.2,1.78,35.4,0.22,16.7,1.00,-1.0,-2.054,0.22,16.7,31.6,1.862,3.2,1.23,1.16
1.0,2.70,2.083,538,27.283333333333335,26.0,9.6,9.3,1.3,62.5,75.0,3.00,85.0,1.13,68.8,1.63,1.5,5.127,1.00,100.0,31.8,2.545,2.7,0.93,1.20
0.4,0.77,1.662,-197,33.63333333333333,12.6,16.4,4.0,7.3,40.0,50.0,1.90,36.0,0.60,30.0,0.70,-0.5,-1.841,0.30,15.0,30.6,1.863,2.9,0.92,1.36
0.62,1.50,1.857,192,32.53333333333333,18.4,12.3,8.0,4.9,62.5,50.0,3.00,64.2,1.38,68.8,1.13,-0.1,-0.154,1.00,64.6,30.2,2.057,2.8,1.16,1.34
0.51,1.16,1.836,52,31.783333333333335,14.8,12.7,6.1,5.7,40.7,59.3,2.33,54.0,0.93,48.1,0.85,0.1,0.444,0.67,48.7,34.0,2.058,3.7,1.50,1.97
0.25,0.64,1.585,-305,31.033333333333335,11.2,17.3,2.4,8.7,41.7,16.7,2.08,43.4,0.83,41.7,1.00,-1.1,-1.303,0.25,20.8,28.5,1.831,2.7,1.02,0.95
0.6,1.15,1.792,45,32.31666666666667,13.0,11.3,6.5,4.7,30.0,60.0,2.40,48.5,0.50,30.0,0.70,-0.2,-0.08,1.10,48.3,33.2,1.719,3.3,1.22,1.36
0.66,1.80,1.822,204,26.283333333333335,12.0,6.7,7.7,3.3,66.7,100.0,1.67,41.7,2.00,100.0,1.00,2.0,3.655,0.67,66.7,30.6,1.656,3.0,1.23,1.05
0.8,1.61,1.848,234,32.016666666666666,13.7,8.5,7.7,3.7,40.0,50.0,2.70,58.8,0.80,40.0,1.10,0.1,0.637,0.90,83.3,33.9,1.837,3.0,1.14,1.24
0.33,0.85,1.698,-160,32.25,11.2,13.1,3.9,7.5,26.7,26.7,1.47,30.1,1.07,53.3,0.33,-0.8,-1.728,0.33,27.4,32.7,1.687,3.5,1.29,1.42
0.55,0.97,1.754,-37,33.86666666666667,12.9,13.2,6.1,6.0,33.3,44.4,2.44,48.3,1.22,61.1,0.89,0.6,0.042,0.67,50.0,32.4,1.886,3.1,1.27,1.47
0.5,0.91,1.713,-49,29.5,12.8,14.0,4.0,5.8,75.0,50.0,2.50,56.3,0.50,25.0,1.25,0.0,0.071,0.75,50.0,32.0,1.658,2.7,1.01,1.22
0.09,0.59,1.56,-296,31.616666666666667,9.4,15.9,1.9,8.4,63.6,18.2,1.82,38.3,0.73,36.4,0.91,-0.4,-1.704,0.18,13.6,29.0,1.565,2.7,1.06,1.06
0.87,1.80,1.852,233,35.5,14.6,8.1,8.8,3.3,62.5,75.0,3.25,63.9,1.25,62.5,0.88,0.6,0.592,1.25,73.8,34.1,1.741,3.4,1.33,1.76
0.81,1.96,1.912,277,30.816666666666666,21.0,10.7,7.8,3.6,63.6,54.5,2.82,57.6,1.27,68.2,1.00,-0.2,1.243,1.00,85.0,31.3,2.347,3.2,1.32,1.08
0.22,0.59,1.608,-311,30.183333333333334,10.8,18.2,3.1,8.1,55.6,22.2,1.44,29.4,0.67,38.9,0.67,-0.6,-1.386,0.33,22.2,28.9,1.551,3.3,1.27,1.13
