GAM Esports	S11	VN	8	100.0%	2.92	2049	477	27:00	21.9	7.4	8.5	1.5	87.5	62.5	2.75	71.9	1.25	62.5	0.88	0.9	3548	0.63	83.3	34.8	2172	3.3	1.14	1.41
Gambit Esports	S11	CIS	4	75.0%	1.35	1886	241	29:20	12.5	9.3	8.0	3.0	25.0	75.0	2.25	57.5	1.25	62.5	0.75	1.0	1830	0.75	62.5	34.5	1871	2.9	1.07	1.33
GamerLegion	S11	DE	13	61.5%	1.02	1756	-7	31:14	13.6	13.4	5.9	5.3	30.8	53.8	2.54	53.1	0.85	42.3	0.85	-0.2	-639	0.69	58.3	32.2	1973	3.0	1.08	1.19
Gamers Origin	S11	FR	11	54.5%	1.16	1809	99	34:43	15.2	13.0	6.5	5.0	45.5	54.5	2.64	53.6	1.36	68.2	1.27	0.5	1193	0.73	63.6	32.9	2005	3.0	1.24	1.57
Gamespace Mediterranean College Esports	S11	GR	12	75.0%	1.28	1798	84	31:36	16.6	12.9	6.8	5.6	41.7	41.7	2.92	59.7	1.42	70.8	1.25	-0.5	-575	0.67	50.0	30.8	2079	3.3	1.35	1.28
GameWard	S11	FR	11	63.6%	1.35	1825	141	31:55	16.1	11.7	7.0	5.3	45.5	54.5	3.09	67.3	1.36	68.2	1.36	0.7	475	1.09	72.7	31.1	2116	3.2	1.35	1.27
Gaming Team Krava?e	S11	CZ	9	66.7%	1.32	1834	122	31:29	17.4	13.1	6.7	4.6	66.7	55.6	2.67	56.5	0.78	38.9	1.33	0.0	570	0.89	61.1	31.5	1958	3.0	1.06	1.17
Gen.G Challengers	S11	KR	10	70.0%	1.04	1817	43	34:40	16.1	15.5	6.3	5.0	80.0	70.0	2.70	55.6	1.20	60.0	1.50	0.3	1535	0.40	27.1	33.0	1933	4.0	1.64	1.75
Gen.G eSports	S11	KR	24	70.8%	1.43	1889	186	31:52	13.9	9.6	7.4	4.3	79.2	75.0	2.29	54.9	1.13	62.5	0.83	0.3	1060	0.83	70.1	35.5	1825	4.1	1.51	1.96
Gentlemens Gaming	S11	PL	10	20.0%	0.63	1584	-238	34:17	10.3	16.4	3.5	8.4	30.0	30.0	1.70	30.0	0.30	15.0	0.50	-0.9	-2136	0.30	25.9	29.1	1564	2.7	0.98	1.13
GG&Esports	S11	IT	12	41.7%	1.05	1807	51	25:47	13.0	12.4	4.8	4.3	33.3	50.0	2.08	55.7	0.92	60.0	1.00	0.6	1157	0.42	50.0	31.9	1933	3.2	1.08	1.29
GMedia Luxury	S11	VN	13	38.5%	0.64	1754	-147	29:20	11.7	18.1	4.3	6.6	38.5	38.5	2.08	45.6	0.62	30.8	1.00	-0.7	-1825	0.46	36.4	33.1	2009	3.3	1.32	1.31
Godsent	S11	EUW	10	40.0%	0.84	1718	-118	29:57	11.0	13.1	4.0	6.8	30.0	30.0	2.20	47.7	0.60	30.0	1.10	-0.8	-1360	0.90	55.0	31.9	1624	3.3	1.17	1.17
Golden Guardians	S11	NA	15	20.0%	0.46	1638	-242	33:19	7.5	16.1	3.6	7.8	33.3	40.0	2.13	38.7	0.80	40.0	0.67	-0.3	-552	0.53	22.6	32.4	1724	3.5	1.35	1.41
Golden Guardians Academy	S11	NA	9	22.2%	0.60	1683	-231	31:00	10.3	17.1	4.2	7.9	66.7	22.2	1.78	35.4	0.22	16.7	1.00	-1.0	-2054	0.22	16.7	31.6	1862	3.2	1.23	1.16
Goskilla	S11	LT	8	100.0%	2.70	2083	538	27:17	26.0	9.6	9.3	1.3	62.5	75.0	3.00	85.0	1.13	68.8	1.63	1.5	5127	1.00	100.0	31.8	2545	2.7	0.93	1.20
Granit Gaming	S11	EUW	10	40.0%	0.77	1662	-197	33:38	12.6	16.4	4.0	7.3	40.0	50.0	1.90	36.0	0.60	30.0	0.70	-0.5	-1841	0.30	15.0	30.6	1863	2.9	0.92	1.36
GTZ Bulls	S11	PT	8	62.5%	1.50	1857	192	32:32	18.4	12.3	8.0	4.9	62.5	50.0	3.00	64.2	1.38	68.8	1.13	-0.1	-154	1.00	64.6	30.2	2057	2.8	1.16	1.34
Hanwha Life eSports	S11	KR	27	51.9%	1.16	1836	52	31:47	14.8	12.7	6.1	5.7	40.7	59.3	2.33	54.0	0.93	48.1	0.85	0.1	444	0.67	48.7	34.0	2058	3.7	1.50	1.97
